Epoch,Train Loss,Validation Loss,Train Reconstruction Loss,Train KLD Loss,Validation Reconstruction Loss,Validation KLD Loss
1,7.46498311920166,6.966830376999828,7.374900105743408,180.1660253527832,6.836662520996679,260.33567434682635
2,6.795971795196533,6.630193983023159,6.655345444641113,281.25268838378906,6.478551358841479,303.2852401977149
3,6.540103408966065,6.4321236412365215,6.384747818450927,310.7111708984375,6.2694599818878665,325.3272962478784
4,6.36230347076416,6.276650709085191,6.196134337158203,332.338257265625,6.10506283208585,343.17576535745934
5,6.216127364959717,6.147061584094843,6.041342208404541,349.57029102539065,5.96841476976681,357.2936156641561
6,6.089714349060059,6.0286069678041505,5.9076828634643554,364.06294759765626,5.842208479920896,372.7969601177179
7,5.981396740722656,5.938312585361468,5.792943346099854,376.9067707714844,5.747937143039398,380.75085614969174
8,5.886839869232178,5.8676171135216855,5.693339262390137,387.001198828125,5.671918008274163,391.3981931643745
9,5.802790369567871,5.786872517948334,5.604493950958252,396.5928101660156,5.587742372823599,398.2602776963109
10,5.726021498565673,5.717083539444799,5.5233081854248045,405.426609296875,5.511820812956594,410.52543791262104
11,5.656100207061767,5.657802839248706,5.449695320129394,412.80975499023435,5.450198505633175,415.20865014414437
12,5.590662128753662,5.597648891778038,5.380581240081787,420.16175427734373,5.385576600083909,424.14457853762104
13,5.5292466934204105,5.544502867677341,5.315907341613769,426.6786850097656,5.328771778569815,431.46213743557183
14,5.468730735778808,5.501302856225937,5.25225431854248,432.9528132714844,5.2822838637013785,438.03797927222695
15,5.413803469238281,5.4479980179296135,5.194542835235596,438.5212483007812,5.227294176912156,441.4076430835663
16,5.358963762512207,5.397532633699167,5.137080198669434,443.7671115722656,5.175303873543541,444.45749827619557
17,5.306988976745606,5.351809210670642,5.082639425964356,448.6990806542969,5.125794494494843,452.0294107552915
18,5.256445522613525,5.3109420785507835,5.029625335845947,453.6403525878906,5.083671344354892,454.5414357535755
19,5.209257473602295,5.264022670233973,4.98007624130249,458.3624464941406,5.0348987320360665,458.2478431969786
20,5.162616303100586,5.22986714756146,4.931513448028564,462.20568298828124,4.997691149909656,464.3519817510733
21,5.119007707519531,5.188134150764051,4.885760136566162,466.49513021484375,4.955901470428077,464.4653262787353
22,5.075242674560547,5.150882513759235,4.84006662475586,470.3520706542969,4.915769363744571,470.22628364928613
23,5.034979994354248,5.120368959042973,4.798057616119385,473.8447320703125,4.883890295181031,472.9573010331906
24,4.99538947052002,5.082500744170655,4.756756049041748,477.26683404296875,4.84422948946968,476.54249909129766
25,4.958665257873535,5.054972499323348,4.718511100006103,480.3082872265625,4.817575242953559,474.794487121387
26,4.892892269592285,5.014056802938541,4.650330626373291,485.1232667675781,4.770054395206439,488.00478813975764
27,4.870121861572265,4.996769655245942,4.626018542785644,488.2066112597656,4.754460803997783,484.61767353874427
28,4.850994019165039,4.986137894395823,4.605686994018555,490.61402543945314,4.740828549138273,490.61868247132713
29,4.832434288635254,4.973405327659826,4.586253729248047,492.3610964941406,4.727379878108113,492.05089240028457
30,4.815374585723877,4.961105780860486,4.568158784637451,494.43157583007815,4.7162173396101394,489.77688257381936
31,4.797990513305664,4.944137916016502,4.549967116699219,496.0467766894531,4.69557116816219,497.1334559041471
32,4.781499840545655,4.928895222112393,4.532730521087647,497.53861588867187,4.680307741744069,497.1749410903492
33,4.7668070703125,4.9212305248735815,4.517037453460693,499.53921711914063,4.671538063512442,499.38491450788115
34,4.750681576843261,4.908418880864835,4.500481639099121,500.3998541113281,4.658255858924061,500.3260332296451
35,4.735144580078125,4.898063917129566,4.48421721359253,501.8547119042969,4.645522260818238,505.08326755316494
36,4.718989315338135,4.890544862412035,4.4676016575622555,502.77529741210935,4.636472825425121,508.1440665638104
37,4.704767308807373,4.877201386533987,4.452388779144287,504.75704215820315,4.624944025716081,504.5147080101525
38,4.691474075012207,4.86433817251041,4.438309402923584,506.3293233105469,4.610488393436225,507.69954947084665
39,4.676920510253907,4.857762723685073,4.423419556121826,507.0018845410156,4.605841002906092,503.84337364903655
40,4.664625842132568,4.851303840978458,4.410474133605957,508.303404140625,4.597940073226588,506.7275280449718
41,4.6508297164917,4.839060370533611,4.3960763883972165,509.5066338183594,4.584180671947832,509.7593625589682
42,4.638557398223877,4.82846557446562,4.383122097702026,510.87057959960936,4.574430436752856,508.07025409735047
43,4.626157914886474,4.82288065505104,4.370308055267334,511.6996997558594,4.566577917470719,512.6054684574992
44,4.613721467895508,4.8152810011428,4.357293199539185,512.8565038964844,4.560337385049643,509.88720361874124
45,4.601270799560547,4.804061715976118,4.344320863494873,513.8998460351562,4.546650353331154,514.8227269961811
46,4.589495919494629,4.799304850946981,4.332147090606689,514.6976326855469,4.542753845738908,513.1019846760807
47,4.578076925506592,4.7897814973093835,4.320129619598388,515.8945887304687,4.533872167142436,511.8186460257338
48,4.567633683929444,4.7799156359590285,4.30925712234497,516.7530981835938,4.520463820082692,518.9036108632438
49,4.556592639770508,4.778528763463322,4.297639177017212,517.9068978125,4.5196105481717535,517.8364120337149
50,4.544743320007324,4.770609666745122,4.285406778793335,518.6730555664062,4.511842183792553,517.5349259544105
