Epoch,Train Loss,Validation Loss,Train Reconstruction Loss,Train KLD Loss,Validation Reconstruction Loss,Validation KLD Loss
1,6.88012134552002,6.4560175947487926,6.77906134185791,202.1199947290039,6.334699601791918,242.63594006425657
2,6.264086459960938,6.061682861072187,6.136053906402588,256.0650875732422,5.924262877089528,274.83993642398724
3,5.9165709997558595,5.750471253745472,5.775704501037597,281.73297747070313,5.605529573397895,289.8833464113668
4,5.613534683990479,5.449621972946313,5.459826180725098,307.41699162109376,5.290684022080784,317.87591250483604
5,5.347743388519287,5.188384586248916,5.182285331726074,330.91609922851563,5.019394818205422,337.97950817754094
6,5.11843025680542,4.9860639099876725,4.941053796234131,354.7529077832031,4.8073078451065205,357.5121054359899
7,4.91899748260498,4.802076028939634,4.730843212127685,376.3085211425781,4.607257608407602,389.6368325327913
8,4.749912886810303,4.648652541370819,4.553405434875488,393.0148914453125,4.447047027916954,403.21099034513526
9,4.595315919189453,4.533216680581577,4.391398902511597,407.83401791015626,4.320236084179376,425.96115190304886
10,4.453563708801269,4.410737750629266,4.242495516204834,422.1363654003906,4.202186114490984,417.10324203929963
11,4.332583052444458,4.306666855614026,4.11556351776123,434.0390472558594,4.089368601576589,434.59649151201825
12,4.2235509253692625,4.205474857324228,4.001258574829102,444.58468555664064,3.9841182452802077,442.71317513072836
13,4.1234808498382565,4.127015273030192,3.8966916890716554,453.57829858398435,3.8982956584650106,457.4391784667969
14,4.036794691085816,4.058290954595938,3.805536018295288,462.5173154199219,3.8247127860498886,467.15632595269443
15,3.9593903523254395,3.9988174857422947,3.724531601867676,469.7174771484375,3.76419372604297,469.2474899535743
16,3.8873774408721924,3.9663385666978246,3.6496205305480958,475.5137958886719,3.728017085657333,476.64293770592053
17,3.82583853805542,3.9107571958352962,3.585457557525635,480.7619344042969,3.672201497105364,477.11138106763553
18,3.76996905418396,3.861798379367914,3.5266911151885987,486.5558550683594,3.6192732977029234,485.05012916833067
19,3.7194082460784914,3.835151528398069,3.47414577255249,490.5249232519531,3.5868697097888007,496.5636119903467
20,3.6752077048492433,3.7991818650461995,3.4277513102722166,494.91276608398437,3.557666954521935,483.02979500377523
21,3.6363440077209472,3.7693046281893796,3.3870639489746095,498.56009298828127,3.519481197332803,499.6468360584003
22,3.599256395187378,3.749926190787611,3.3491164320373534,500.27989866210936,3.500970387230285,497.91158843116636
23,3.5680348164367675,3.729596753470814,3.316505831756592,503.0579460058594,3.481171332228298,496.850825008112
24,3.540488554458618,3.715482656186381,3.2877848300933836,505.4074248046875,3.4665849620160967,497.79536316112967
25,3.5129242248535157,3.7041089915619874,3.2591197956085205,507.60883673828124,3.4503882152203933,507.44154314035046
26,3.4168971725463866,3.644903240112451,3.160547297821045,512.6997224902344,3.390897485013968,508.01148455440045
27,3.390599439086914,3.631444584447355,3.1329029582977297,515.3929369921875,3.375531250676408,511.82666239875573
28,3.3736117331695556,3.6302575737523575,3.1151006983947753,517.0220433789062,3.3716474173548883,517.220289821442
29,3.3589696481323243,3.6259371305045227,3.0996745546722413,518.5901575976562,3.364569861287126,522.7345049678327
30,3.344632947311401,3.6217199803922124,3.0846227240753175,520.0204210839844,3.363896414875603,515.6471014540797
31,3.332428411026001,3.6184539977734844,3.072025829849243,520.8051353417969,3.360630282959618,515.6474140398799
32,3.321640639038086,3.6174338412361022,3.0603423390960693,522.5965704492188,3.35930133094422,516.2649969033921
33,3.3119670280456543,3.612855136584931,3.050243299331665,523.4474313183593,3.352678477192839,520.3533057069626
34,3.3014527935791014,3.609134307684609,3.03923537399292,524.4348099121094,3.3478712814684495,522.5260273016299
35,3.2906734995269775,3.613017169050515,3.0277334549713135,525.8800628515625,3.348534579475086,528.9651590658073
36,3.282871821594238,3.60857029159229,3.0196643738555906,526.4148698046876,3.3490808444282116,518.9788825184393
37,3.2717804736328127,3.603740868096154,3.0080446823120117,527.4715558300782,3.340888142204894,525.7054298084003
38,3.2649887525177004,3.604468584060669,3.0008683239746095,528.2408321191406,3.340542620363327,527.8518893208367
39,3.257585339050293,3.594933657600476,2.9931246195983885,528.9214160058593,3.3290603541718506,531.7465771562375
40,3.2495948786926268,3.5995141919047686,2.984635154724121,529.9194209179688,3.334496767757038,530.0348204591404
41,3.241120033111572,3.5975686566898237,2.975927200164795,530.3856423144531,3.3307198640256646,533.6975544207393
42,3.2339073078918457,3.5946091630588324,2.968313122024536,531.1883490429688,3.33234441318451,524.5294788104658
43,3.2270854225921632,3.5932576542083448,2.9610016790008546,532.1674662402344,3.327474203353492,531.5668873162315
44,3.219816107330322,3.5951449406413607,2.9534941554260254,532.6438805859375,3.3313318212954,527.6262053955858
45,3.212877485961914,3.5910373084461344,2.9461736882019043,533.4075698632812,3.3259566713826727,530.161251567804
46,3.206715468597412,3.5911047885212275,2.939821279449463,533.7883528027344,3.3236226372825453,534.9642961885983
47,3.2008346036529542,3.5863928886267322,2.9335534867095947,534.5622118945313,3.32169696088797,529.3918501881365
48,3.1954584992980957,3.590238876616993,2.927779751739502,535.3574691308594,3.3236151975564683,533.2473474082094
49,3.1894829931640625,3.585299046275715,2.921698630065918,535.5687016699219,3.319158682807947,532.2806965885833
50,3.1835330419158936,3.5901013532766517,2.915378133087158,536.3097919628906,3.3244120503385988,531.3785681191343
