Epoch,Train Loss,Validation Loss,Train Reconstruction Loss,Train KLD Loss,Validation Reconstruction Loss,Validation KLD Loss
1,6.973099081573486,6.652161171641975,6.911467377471924,123.26340395935058,6.570548450604034,163.22543997962634
2,6.453114060211182,6.26922813086464,6.358738165130616,188.7517859326172,6.163324458149676,211.80733112176767
3,6.147011059112549,6.028174257126098,6.030279293365479,233.46351475585936,5.900949781314253,254.4489506243136
4,5.926562125244141,5.839551416829752,5.792410520935059,268.30318912109374,5.69895626257022,281.19029757466177
5,5.745779995574951,5.684492613941717,5.597989582824707,295.5808083105469,5.532663124437911,303.65898283449604
6,5.578642012023926,5.538544095743197,5.418721414337158,319.8411799316406,5.372336872088643,332.4144336834502
7,5.41883874710083,5.374287577863699,5.247176813812255,343.32384927734375,5.200804044644292,346.96702814559205
8,5.26788544921875,5.252298199711516,5.08610595703125,363.55897122070314,5.066135510088156,372.3253825129792
9,5.1389450643920895,5.139213557441394,4.9485772924804685,380.73553603515626,4.946791441676716,384.84422248620956
10,5.024505621337891,5.0392810254813005,4.826844053955078,395.3231127734375,4.839923122820382,398.71579291492986
11,4.921409881439209,4.95236863876684,4.717370405273438,408.0789364160156,4.748357906889992,408.02145434492314
12,4.826789299621582,4.878687960652117,4.617246138305664,419.0862943652344,4.668583434229841,420.20904004764253
13,4.73987084777832,4.797352446534763,4.525189475708008,429.3627152636719,4.583043278215793,428.61832259790583
14,4.657598611145019,4.737138684184407,4.438726486053467,437.7442234472656,4.517443886961038,439.3895627347806
15,4.582354047393799,4.676556440968864,4.359425989379883,445.8560847558594,4.45314955939881,446.8137598007251
16,4.512055838165283,4.619860606452527,4.285630127792358,452.8513952050781,4.392427826841799,454.86555086081023
17,4.447421204986572,4.578370191799566,4.217810943832397,459.22049340820314,4.348443162326996,459.85403013381716
18,4.386126072616577,4.519625912078272,4.153318112564087,465.6159015136719,4.286363211683572,466.5253642999326
19,4.330357550964355,4.483527398337952,4.095120493621826,470.4740882519531,4.247136474798282,472.78183977900983
20,4.27915655128479,4.43954684863837,4.0416131368255614,475.08681294921877,4.201840967416001,475.41173604654426
21,4.229001992950439,4.405740807993343,3.9891049324035643,479.7940957617187,4.165077984142608,481.325623046095
22,4.183712248535156,4.375791741636234,3.9417358601379395,483.9527572851562,4.133066683150709,485.4501125347881
23,4.140354693603515,4.34407722150175,3.8964818394470213,487.74568833984375,4.100140900657581,487.8726158263965
24,4.101058143386841,4.317469042330123,3.8554877098846436,491.14083807617186,4.070637084424686,493.6639235621443
25,4.063402489395141,4.291780184633054,3.8161573300170897,494.49030359375,4.044286698198166,494.98693779406074
26,4.004842126846314,4.26786434536163,3.7553283150482177,499.02760009765626,4.017886083346967,499.95650981866515
27,3.9841982363128663,4.251705676983721,3.733266432647705,501.8635798535156,4.001050818080719,501.30968282778804
28,3.9656495519256594,4.24390106460157,3.713786987686157,503.725101875,3.992950139335169,501.9018584912577
29,3.9489658517456054,4.232308437268193,3.6963741358184814,505.1834060546875,3.9810684488985104,502.47997900624625
30,3.9326946479797362,4.223108568892312,3.679237447280884,506.91438202148436,3.970255875358947,505.70534712818863
31,3.9158559545898437,4.21468931798356,3.6616096128082276,508.4926598242188,3.96165170608618,506.07517649495185
32,3.9015366191864014,4.204908528647865,3.6465433171844484,509.9865809375,3.950686677957114,508.4437085233938
33,3.8874712559509277,4.199018109720736,3.631734736022949,511.47301802734376,3.9438699914243656,510.29620965829673
34,3.873431460418701,4.19068082452963,3.61723670753479,512.389480078125,3.9334341344741968,514.4933583804974
35,3.858148015136719,4.182533145331727,3.601176448364258,513.9431023535157,3.9263400559227306,512.3861618285742
36,3.8451884134674073,4.176635488534507,3.587536505584717,515.3037917871094,3.9175896636975076,518.0916103570225
37,3.8323864645385743,4.173163708025655,3.574198813934326,516.3752777441406,3.915776504876134,514.7743824724191
38,3.820161557388306,4.165599659228096,3.5615423387145997,517.2384097265625,3.9091669027797713,512.8654933356629
39,3.8082929692077636,4.157473800281366,3.548907759170532,518.7703970800782,3.8977254998569673,519.496592951278
40,3.7969520915222166,4.153890663823381,3.5371237343597413,519.6566899511719,3.8935450547800277,520.6911907744484
41,3.7841974295043945,4.151217967176589,3.523898472366333,520.5978892871094,3.890273812479866,521.8882654939597
42,3.773444316940308,4.140936677829146,3.512598385772705,521.6918363671875,3.881398156808969,519.0770318272015
43,3.761978278427124,4.141096751149089,3.5007212755584716,522.51398140625,3.879312022425496,523.5694316827451
44,3.7513754610443115,4.132114968741663,3.489702928085327,523.3450355761719,3.872743292738454,518.7433440479608
45,3.7410044292449953,4.126987251610801,3.478792702178955,524.4234255761719,3.86587891639612,522.2166552071374
46,3.731947598724365,4.1223507765383,3.469321297454834,525.2525784277344,3.859533608531038,525.6343024988143
47,3.722640998001099,4.118128927370992,3.459665717086792,525.95054015625,3.855741994449506,524.7738495360549
48,3.712312321624756,4.115479678772509,3.4489732972717286,526.6780201464844,3.852890579083476,525.1781645461012
49,3.703109752883911,4.111431488975549,3.43923857131958,527.7423418261719,3.848180256712551,526.5024625638042
50,3.6931714014434815,4.1089723163519425,3.4289489289093016,528.4449213574219,3.8451902820660284,527.5640424539487
